,Location,Life span,Overweight(%),High Blood Glucose(%),High Blood Pressure(%),High Cholesterol(%),NCD death probability(%),Malignant neoplasms death(%),Diabetes mellitus death(%),Cardiovascular death(%),Chronic obstructive pulmonary death(%)
60,Georgia,72.58,54.2 [49.2-59.1],12.6 [8.5-17.6],26.3 [20-33.5],37.1 [20.6-54.8],24.9,0.17532250999076815,0.033097104513882224,0.9042059222648879,0.05453924671587816
61,Germany,81.0,56.8 [52.8-60.5],5 [3.2-7.2],19.9 [14.7-25.1],65.6 [50.4-77.7],12.1,0.28637085268141366,0.030128804166057836,0.41795260151712227,0.07158571750632682
62,Ghana,63.45,32 [28-36.1],6.5 [4.1-9.7],23.7 [18.7-29.3],18.1 [9.1-30.4],20.8,0.04186160447528394,0.01998809983039432,0.1482728691265383,0.01715823711068629
63,Greece,81.16,62.3 [57.8-66.8],6.6 [4.2-9.7],19.1 [13.8-25.3],48.2 [34.4-61.6],12.4,0.2958780833076547,0.01666480926423972,0.4342647696229071,0.0989055016762311
64,Grenada,73.4,51.4 [45.9-57.1],11.1 [6.7-16.6],24.3 [18.1-31.2],34.3 [19.1-52],21.4,0.14057299366061146,0.07436764825916219,0.22491678985697833,0.018138450794917608
65,Guatemala,73.23,55.9 [51-60.7],9.7 [6.1-14.2],21.2 [15.3-27.7],27.7 [16.6-40.7],14.9,0.048199734198938575,0.039968452179477656,0.08346459665300998,0.016619350363102053
66,Guinea,59.8,26.6 [22.5-31.1],6.4 [4.1-9.4],30.3 [23.7-37.4],18.7 [9.2-32.3],22.4,0.04192211669801952,0.017932545346338362,0.14812878787749711,0.02559114784817123
67,Guinea-Bissau,59.83,29.9 [25.2-34.8],7.1 [4.5-10.5],30.3 [23.2-37.7],17 [8.4-29.9],20.0,0.04033809947521198,0.014474589241452979,0.11669436287683022,0.01823349419950472
68,Guyana,66.19,49.4 [43.8-55.3],10.9 [6.8-16.5],23.1 [16.7-30.6],23.3 [11.6-38.6],30.5,0.0710430756984714,0.0707837944003018,0.29272858563348253,0.024761363975197147
69,Haiti,63.51,54.9 [49.6-60],8.7 [5.2-13.5],24.5 [17.8-31.9],22.6 [11.3-37.2],26.5,0.06295216889779091,0.036845100026051715,0.24554482408448136,0.028994529139178903
70,Honduras,75.17,55.8 [50.7-60.5],9.3 [5.9-13.6],21.4 [15.6-27.9],30.1 [16.6-46.6],14.0,0.05934766752448604,0.009082285724394266,0.10663595804199726,0.018099852073080257
71,Hungary,75.98,61.6 [57-66.2],7.7 [4.9-11.4],30 [23.3-36.9],55.2 [36.6-72.3],23.0,0.3384507488488122,0.02859641729647482,0.6301977756519297,0.06703599006251429
72,Iceland,82.4,59.1 [55-63.1],5.9 [3.6-8.8],19.7 [14.1-25.9],69.8 [54.9-81.5],9.1,0.1968640223473777,0.008428429091325039,0.2149249418287885,0.0436472220800761
73,India,68.83,19.7 [16.9-22.8],8.7 [5.9-12],25.8 [21.3-30.7],27.9 [20.8-35.8],23.3,0.06154302633657659,0.023328122000676098,0.1955496615842489,0.07679620631592379
74,Indonesia,69.31,28.2 [24.2-32.3],7.7 [5.1-11],23.8 [18.5-29.5],35.8 [21.6-51],26.4,0.08269994983032071,0.03930318872046198,0.25044504170508,0.03964881209208938
75,Iran (Islamic Republic of),75.71,61.6 [58-65.2],12.1 [9-16.1],19.7 [15.2-24.6],54.1 [45.9-61.9],14.8,0.0750854742819525,0.018654167310435697,0.20213038332881017,0.018289680818047452
76,Iraq,69.85,64.6 [60.4-68.8],17.4 [12.5-23],25.2 [19.1-31.6],44 [33-55.3],21.3,0.05777283495133325,0.0198822025252118,0.14092354373997146,0.009748534250924703
77,Ireland,81.54,60.6 [56.3-64.7],6.2 [4.1-8.8],19.7 [14.7-25.3],62.6 [46.2-76.5],10.3,0.19526000949786937,0.01218112394293612,0.18623064489681182,0.05824366081106693
78,Israel,82.29,64.3 [59.7-68.6],6.4 [4-9.5],16.6 [11.7-22.4],53.5 [38.5-67.5],9.6,0.14964883393529943,0.03300043507300051,0.13028759213238056,0.034578931219990075
79,Italy,82.77,58.5 [54.3-62.5],5.8 [3.8-8.3],21.2 [16.2-26.3],62.2 [53.8-70],9.5,0.28605378151991917,0.03645051384476631,0.3788169764180077,0.0680990944935393
80,Jamaica,76.0,55.5 [50.6-60.5],11.9 [7.8-17.5],21.8 [16-28.4],30.7 [22.5-39.8],14.7,0.1345380047497765,0.08051635066866421,0.20184141582153173,0.021987157297981376
81,Japan,84.17,27.2 [24.1-30.4],6.7 [4.7-9],17.6 [14.1-21.5],57.1 [49.9-63.7],8.4,0.312834047989709,0.011306849252688569,0.28075518763933927,0.09004231239641047
82,Jordan,74.28,69.6 [66-73.2],16.8 [12.4-21.9],21 [15.8-26.9],48.8 [39-58.5],19.2,0.04653408951752125,0.024564891609901565,0.14008372786830958,0.010906100152329542
83,Kazakhstan,71.14,53.6 [48.8-58.3],11.8 [7.6-16.9],27.1 [20.1-34.6],45.7 [27.6-63.5],26.8,0.14570771573978705,0.007481393818439472,0.4142246982233429,0.03709290758257771
84,Kenya,66.68,25.5 [21.5-29.6],6 [3.8-8.8],26.7 [20.2-34],26.9 [14.1-42.8],13.4,0.055808655595275924,0.004664482337972285,0.04377641138255196,0.006996723506958427
85,Kiribati,66.12,78.7 [74.6-82.6],22.3 [15.5-30.1],21.5 [15.8-28.2],35.5 [23.4-49],28.4,0.06664948591029868,0.07287010459525989,0.1635134054332661,0.04354433079472847
86,Kuwait,74.78,73.4 [69.7-77],19.6 [14.5-25.6],23.6 [17.9-30],56.2 [45.4-66.3],17.4,0.04250843218691984,0.008238851898297187,0.1150406559541374,0.007885036172603442
87,Kyrgyzstan,71.4,48.3 [42.7-53.7],10.4 [6.8-14.7],26.7 [20.3-33.6],30.1 [15.7-47.5],24.9,0.064830227282792,0.007046048064254691,0.31735202928653666,0.024842258245234415
88,Lao People's Democratic Republic,65.79,25.4 [21.3-29.7],7.7 [5-10.8],24.8 [18.8-31.1],31.4 [17.5-48.3],27.0,0.0798878385847889,0.024774140471713654,0.18621506057394202,0.035978011781739816
89,Latvia,74.99,57.8 [52.6-63.1],7.2 [4.2-11.2],29.4 [22.6-36.9],55.7 [36.5-73.7],21.9,0.3008208117957822,0.025021970201568683,0.8054136602735701,0.02132439160902918
90,Lebanon,76.28,67.9 [63.5-71.9],13.4 [9.5-18.1],20.7 [15.4-26.8],44.2 [27.8-61],17.9,0.09086602124635534,0.028089381424459298,0.26531507990207737,0.023442569651165927
91,Lesotho,52.94,38.7 [34.2-43.5],8.8 [5.4-13],29 [22.6-35.6],23 [10.3-41.3],26.6,0.06154095268479032,0.058408484458861286,0.19551420911683187,0.05315557620307261
92,Liberia,62.94,30.9 [26.8-35.5],7.7 [5-11.2],28.3 [22.2-35.2],16.1 [7.6-28],17.6,0.040856477343186565,0.013211859802545921,0.10344929828891156,0.01151132339231724
93,Libya,71.91,66.8 [62.4-71],15.9 [11.7-20.9],23.7 [18-29.8],35.6 [27.8-43.9],20.1,0.06221350059148265,0.019900926656151417,0.17926237184542587,0.017436415615141955
94,Lithuania,75.04,59.6 [54.6-64.3],7.9 [4.7-12.2],29.3 [22.4-36.6],54.8 [34.2-73.1],20.7,0.2832962168915283,0.010624473318555972,0.8017497503940918,0.02419057605755904
95,Luxembourg,82.4,58.7 [54.2-63.1],5.4 [3.4-8],21.9 [16.3-27.9],66.9 [51.8-79.6],10.0,0.19628288213014403,0.015364271336484447,0.2054323920271516,0.04609281400945335
96,Madagascar,66.09,23.9 [19.7-28.2],5.5 [3.4-8.3],28.1 [21.4-35.4],24.4 [12.8-39.1],22.9,0.06016219731609999,0.008732898241650622,0.12491177724119953,0.023913037365476612
97,Malawi,64.17,23.4 [19.6-27.6],6.3 [4-9.3],28.9 [22.1-36.3],24.1 [17.4-32],16.4,0.07158278927952991,0.008416034335560192,0.07205357573062134,0.010903646694413618
98,Malaysia,75.28,42.5 [38.1-47],11.1 [7.6-15.3],22.9 [17.9-28.7],52.1 [34.9-68.3],17.2,0.07981188771507006,0.015105271521410769,0.17590878984060174,0.020531437019393278
99,Maldives,78.42,30.6 [26.2-35.4],10.9 [6.7-16.3],24.4 [17.9-31.5],41.7 [24.4-59.6],13.4,0.04626660077181102,0.008832714692800286,0.09673925615924123,0.02376420857824839
100,Mali,57.95,28.1 [23.9-32.5],7.3 [4.4-11.1],32.6 [25.4-40.4],19.4 [9.2-33.7],24.6,0.04322185564200792,0.013570493761135264,0.12234039473994748,0.030085528621384784
101,Malta,81.5,66.4 [61.5-70.8],7.7 [4.9-11.2],19.4 [13.8-25.5],59 [42.4-73.6],10.8,0.2176111387551909,0.033249331000529694,0.3063524566669495,0.04517322901451276
102,Mauritania,63.94,34.4 [29.6-39.5],9 [5.6-13.4],31.7 [24.3-40],22.2 [14-32.4],18.1,0.037972567521998145,0.013666281416835513,0.12374109289900978,0.015659781166567233
103,Mauritius,74.82,32.3 [27.7-37.2],13 [8.8-17.9],25 [18.9-31.9],47.1 [29.3-65.7],22.6,0.09723664085840857,0.18797498949971075,0.2643695467837416,0.07029250239723586
104,Mexico,76.56,64.9 [61.1-68.6],11.2 [7.6-15.9],19.7 [14.8-25.1],50.7 [39.9-61.5],15.7,0.06490862461491467,0.08077537549668529,0.12912643867480514,0.029589718773536562
105,Mongolia,69.8,55.6 [50.6-60.3],11.7 [8-16.3],29 [22.5-35.9],37.3 [25.6-50.2],30.2,0.13064569006641238,0.0031082746196617024,0.24529194551161876,0.01096075786933337
